item_id,price_usd,square_total,square_living,square_kitchen,number_of_rooms,floor,type_of_sentence_от застройщика,type_of_sentence_от непятно кого,type_of_sentence_от посредника,type_of_sentence_от представителя застройщика,type_of_sentence_от хозяина,heating_без отопления,heating_индивидуальное,heating_странное отопление,heating_централизованное,group_city_0,group_city_1,group_city_2,region_group_0,region_group_1,region_group_2,region_group_3,region_group_4,region_group_5,street_group_0,street_group_1,street_group_2,street_group_3,street_group_4,walls_group_0,walls_group_1,walls_group_2,walls_group_3,walls_group_4
15529622,72000,63.6,29.0,24.0,3,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
15795202,30900,67.0,29.0,21.0,1,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
15711140,230000,120.0,63.931330539549506,25.0,3,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
15758734,62500,73.0,46.0,27.0,1,6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
15310293,50000,45.0,19.0,12.0,1,19,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
15540541,21500,52.0,30.0,15.0,2,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15710515,60000,72.0,49.0,6.5,3,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
14908190,48000,52.0,28.0,9.0,2,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
15710426,195000,145.0,85.0,13.0,5,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
15710589,38000,28.0,20.0,8.0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
15710605,58000,49.0,30.0,11.0,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
15992145,24000,46.2,24.0,10.0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
15096033,58000,67.0,30.0,20.0,3,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
